time,sat_name,subRegion,angle_g_param
2025-11-28T20:43:04.382Z,LCS 1,A--134,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--135,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--139,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--140,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--147,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--148,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--151,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--152,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--153,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--154,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--157,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--158,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--159,0.25
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--166,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--74,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--75,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--76,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--82,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--83,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--84,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--85,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--91,0.25
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--92,0.25
2025-11-28T20:49:33.382Z,RADIO ROSTO (RS-15),A--149,0.25
2025-11-28T20:49:33.382Z,RADIO ROSTO (RS-15),A--155,0.25
2025-11-28T20:49:33.382Z,RADIO ROSTO (RS-15),A--156,0.25
2025-11-28T20:49:33.382Z,RADIO ROSTO (RS-15),A--162,0.25
2025-11-28T20:49:33.382Z,RADIO ROSTO (RS-15),A--163,0.25
